Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
BP (British Petroleum),"BP blev for nylig tildelt udforskningsrettigheder ud for kysten af Israel, hvilket også omfatter områder, der normalt skulle være under palæstinensisk kontrol.",.,,,,,,,,,,,,,,,,,
Chanel,"Alain Wertheimer fordømte angrebet mod Israel i forbindelse med begivenhederne oktober 2023, men forblev tavs om angrebene på Gaza. Han afgav også et løfte om at donere 4 millioner dollars i Chanels navn.",.,,,Parfumer: Mænd,Påklædning: Smykker,Påklædning: Tasker,Påklædning: Ure,Parfumer: Kvinder,Make-up,,,,,,,,,
G4S,G4S har nu fuldstændigt trukket sig ud af Israel efter pres fra BDS-bevægelsen. Dog har de været medskyldige og har hjulpet den israelske besættelse i mange år.,.,,,,,,,,,,,,,,,,,
Hyundai,Hyundai's tunge maskineri er blevet brugt til nedrivning af palæstinensiske kvarterer i Jerusalem og har givet dem kommerciel fordel af den israelske besættelse.,.,,,,,,,,,,,,,,,,,
Jaguar,Samarbejder med TCS (Tata Consultancy Services) om at åbne et Open Innovation Programme i Israel.,.,,,,,,,,,,,,,,,,,
Lidl,Ejeren af Lidl er en zionist og en betydelig investor i israelske teknologivirksomheder.,.,,,,,,,,,,,,,,,,,
Marks and Spencer / M&S,"Marks & Spencer har været en pro-zionistisk enhed siden sin grundlæggelse med forskellige medlemmer af ledelsen, der åbent erklærer støtte til den Israel. I over 100 år har de været den største kommercielle forbindelse mellem Israel og Storbritannien. Dog har de for nylig offentligt distanceret sig fra at have 'politiske' bånd. Eftemsom deres sidste udtalelser om deres støtte til Israel er fra 2000, er det svært at fastslå i hvilken grad deres ledelse stadig støtter Israel.",.,,,Baby- & Børnetøj,,,,,,,,,,,,,,
Mercedes Benz,Mercedes Benz åbnede et Tech-center i Tel Aviv til udvikling af digitale køretøjs- og mobilitetstjenester.,.,,,Food,,,,,,,,,,,,,,
Microsoft,Microsoft is opening a data center in israel and invests heavily in their economy.,.,,,,,,,,,,,,,,,,,
Monster Energy,"
Coca-Cola, der er den største aktionær i Monster Energy, driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",.,"Faxe Kondi, State Energy, Nocco",,,,,,,,,,,,,,,,
Motorola,"The Israeli Defense Forces (IDF) bruger Motorola som hovedleverandør af kommunikationsudstyr, hvilket giver dem mulighed for effektivt at kontrollere palæstinensere. Motorola producerer også bombefængninger, der bruges i IDF-bomber.",.,,,,,,,,,,,,,,,,,
Nykredit,Nykredit har økonomiske forbindelser til Israels besættelse af de palæstinensiske områder. De stiller lån og garantier til rådighed for virksomheder med aktiviteter på besat palæstinensisk jord eller investerer penge i dem.,.,,,,,,,,,,,,,,,,,
Payoneer,"Payoneer er en israelsk virksomhed, der opererer i det besatte Palæstina.",.,,,,,,,,,,,,,,,,,
PayPal,"PayPal, verdens største online betalingsplatform, vil ikke betjene palæstinensere, der bor på den besatte Vestbred og i Gazastriben.",.,,,,,,,,,,,,,,,,,
Procter & Gamble,"Har åbnet et forsknings- og udviklingscenter i Tel Aviv, i det besatte Palæstina, hvor de årligt investerer $2 mia.",.,,,,,,,,,,,,,,,,,
River Island,"Ejes af Lewis-familien som også ejer Isrotel-hotelkæden i Israel. De støtter samt starter mange zionistiske initiativer, anført af den nu afdøde David Lewis.",.,,,,,,,,,,,,,,,,,
Siemens,"Who Profits' har dokumenteret, at Siemens-trafikstyringssystemer var installeret på vejene 5 og 443 på den besatte Vestbred som en del af et israelsk vejnet, som er forbudt for palæstinensere at benyttte. I marts 2018 underskrev Siemens og den statslige Israel Railways en kontrakt på 917 millioner dollars for levering af 60 Desiro HC-regionale tog, i alt 330 elektriske togvogne, over en periode på ti år.",.,,,,,,,,,,,,,,,,,
Skechers,"Michael S. Greenberg, formanden for Skechers, er en zionist, der har delt pro-israelsk indhold på sin Instagram-konto.",.,,,Baby- og børnetøj,Mænd: Sko,Kvinder: Sko,,,,,,,,,,,,
Skims,"Medejeren Kim Kardashian delte en besked til sine 'jødiske venner', hvor hun fordømte begivenhederne oktober 2023, men har ikke fordømt Israel for krigen i Gaza.",.,,,,,,,,,,,,,,,,,
Tesco,"Tesco samarbejder med en israelsk start-up, Trigo Retail, for at levere butikker uden kasser, hvoraf flere allerede er åbnet i London. Michael Gabay, administrerende direktør for Trigo, er en ihærdig Zionist.",.,,,,,,,,,,,,,,,,,
The Ordinary,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",.,"Geek & Gorgeous, Revolution Skincare, The INKEY List",,,,,,,,,,,,,,,,
Viber,"Stifteren, Talmon Marco, er en zionist, der støtter Israel Defense Forces (IDF) i Gaza.",.,,,Teknologi,,,,,,,,,,,,,,
Walmart,"Walmart var hurtig til at love 1 million dollars til israelske ofre og fordømte Hamas i forbindelse med begivenhederne i oktober 2023, men donerede ikke noget til velgørenhedsorganisationer, der opererer i Gaza.",.,,,,,,,,,,,,,,,,,
Agoda,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Booking.com,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Cheapflights,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Kayak,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Momondo,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Opentable,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Priceline,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Rentalcars.com,"Ejes af Booking Holdings Inc. som tillader promovering af overnatningssteder beliggende på besat palæstinensisk og syrisk land. Overnatningssteder i israelske bosættelser på den besatte Vestbred er opført enten som beliggende i Israel eller i ""Palæstinensisk område - Israelsk bosættelse"", mens dem beliggende i det besatte Østjerusalem og den syriske Golanhøjde udelukkende er opført som beliggende i Israel. Dette vildleder forbrugerne.",Booking Holdings Inc.,,Rejser,,,,,,,,,,,,,,,
Fairlife,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Bodylab, QNT",Fitness,,,,,,,,,,,,,,,
Fuze Tea,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Vitamin Well, Rema 1000, Vitamin+ by State",Juice & smoothies ,,,,,,,,,,,,,,,
Innocent Smoothies,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Ella-Sara, Rynkeby, Salling Princip, Salling Øko",Juice & smoothies ,,,,,,,,,,,,,,,
Minute Maid,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Salling Øko, God Morgen",Juice & smoothies ,,,,,,,,,,,,,,,
Appletiser,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,,,,,,,,,
Coca-Cola,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Harboe, Jolly Cola, Bruun Kola",Læskedrikke,,,,,,,,,,,,,,,
Fanta,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,,,,,,,,,
Powerade,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Faxe Kondi, State Energy, Nocco",Læskedrikke,,,,,,,,,,,,,,,
Schweppes,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,,,,,,,,,
Sprite,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Harboe, EGO",Læskedrikke,,,,,,,,,,,,,,,
Costa Coffee,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,,Spis ude: Kaffe,,,,,,,,,,,,,,,
Dogadan,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Fredsted, Pickwick, Chaplon",Te,,,,,,,Kropspleje,Ansigtspleje,Kvinder: Sko,,,,,,
Dasani Water,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Egekilde, Ramlösa ",Vand & vitaminvand,,,,,,,,,,,,,,,
Vitaminwater,"Ejes af Coca-Cola der driver en fabrik i den ulovlige israelske bosættelse Atarot, der er bygget på besat palæstinensisk jord.",Coca-Cola,"Vitamin Well, Vitamin+ by State",Vand & vitaminvand,,,,,,,,,,,,,,,
Sally Hansen,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,"Depend, Nilens Jord, Kiko Milano",Hænder & negle,,,,,,,,,,,,,,,
