Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Jack & Jones,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,,,,,,,,,,,,,
PIECES,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,,,,,,,,,,,,,
Vero Moda,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,,,,,,,,,,,,,
Vila,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Accessories,,,,,,,,,,,,,,
SELECTED,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,,,,,,,,,,
Y.A.S,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,,,,,,,,,,,,,,,
Noisy May,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,,,,,,,,,,,,,,,
Name It,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Baby- & børnetøj,,,,,,,,,,,,,,,
Object,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Accessories,,,,,,,,,,,,,,
Mamalicious,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Baby- & børnetøj,Babyudstyr,,,,,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,Baby- & børnetøj,Til hele familien: Tøj,Til hele familien: Sko,Pålædning: tasker,
Only,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,Påklædning: Til hele familien,,,,,,,,,
Jacqueline de Yong / JDY,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,,,,,,,,,,,,,,,
JJXX,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,Kvinder: Accessories,,,,,,,,,,,,,,
Junarose,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Kvinder: Tøj,,,,,,,,,,,,,,,
LMTD,Bestseller,"Ejes af Bestseller. Ejeren af Bestseller, Anders Holch Povlsen, investerer millioner i den israelske modeplatform Terminal x.",,Baby- & børnetøj,,,,,,,,,,,,,,,
Estée Lauder,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Huda Beauty, Charlotte Tilbury, Clarins, Rudolph Care",Ansigtspleje,Make-up,,,,,,,,,,,,,,
Aveda,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Rudolph Care, Hairburst, Rønsbøl",Hårpleje,,,,,,,,,,,,,,,
Bobbi Brown,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Huda Beauty, Charlotte Tilbury",Make-up,,,,,,,,,,,,,,,
Bumble and Bumble,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,HairLust,Make-up,,,,,,,,,,,,,,,
Clinique,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Beauté Pacifique, Clarins, Rudolf Care",Make-up,,,,,,,,,,,,,,,
MAC Cosmetics,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Huda Beauty, Nars",Make-up,,,,,,,,,,,,,,,
Smashbox,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Huda Beauty, Nars",Make-up,,,,,,,,,,,,,,,
Too Faced,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Huda Beauty, Nilens Jord, Nuxe",Make-up,Ansigtspleje,,,,,,,,,,,,,,
Lab Series,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Njord, Ecooking, Australian Bodycare",Mænd: Barbering,Mænd: Hudpleje,,,,,,,,,,,,,,
Aerin,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Kayali, Nuxe, Perris Monte Carlo",Parfumer: Mænd,Parfumer: Kvinder,,,,,,,,,,,,,,
Aramis,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Perris Monte Carlo, Pierre Guillaume, Masque Milano",Parfumer: Mænd,,,,,,,,,,,,,,,
Jo Malone London,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,Kayali,Parfumer: Mænd,Parfumer: Kvinder,,,,,,,,,,,,,,
Kilian,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Escentric Molecules, Kayali",Parfumer: Mænd,Parfumer: Kvinder,,,,,,,,,,,,,,
Tom Ford,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Kayali, Escentric Molecules, Perris Monte Carlo",Parfumer: Mænd,Parfumer: Kvinder,Pålædning: Briller & solbriller,Make-up,Påklædning: Tasker,Mænd: Tøj,Mænd: Sko,,,,,,,,,
Darphin,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Rudolph Care, Sanzi Beauty, Clarins",,,,,,,,,,,,,,,,
Dr. Jart,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Woods_copenhagen, Ecooking, Karmameju",,,,,,,,,,,,,,,,
Glamglow,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Karmameju, Ecooking, Rønsbøl",,,,,,,,,,,,,,,,
La Mer,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,,,Kropspleje,,,,,,,,,,,,,,
NIOD,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Woods_copenhagen, Ecooking, Karmameju, Rønsbøl",,,,,,,,,,,,,,,,
Origins,"Ejes af Estée Lauder hvis administrerende direktør, Ronald Lauder, har ekstremistiske zionistiske synspunkter og støtter økonomisk og politisk Israels besættelse af Palæstina.",Estée Lauder,"Nuxe, Wood_copenhagen, Ecooking, Nilens Jord",,Kropspleje,Make-up,,,,,,,,,,,,,
CheapTickets,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
ebookers,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Expedia Group,Expedia Group tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ,Expedia Group,,Rejser,,,,,,,,,,,,,,,
Expedia.com,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Hotels.com,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Orbitz,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Travelocity,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Trivago,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Vrbo,"Ejes af Expedia Group, som tillader promovering af overnatningssteder beliggende på besat palæstinensisk jord. ",Expedia Group,,Rejser,,,,,,,,,,,,,,,
Bosch,"Bosch har etableret et forskningskontor i Tel Aviv med fokus på samarbejde med videnskabelige institutioner og startups inden for områder som maskinlæring, robotik, cybersikkerhed, tilslutning og IoT. Bosch har været aktiv på det israelske marked siden 1965.","har israelske aktionærer ""the vanguard group""",,Elektronik,,,,,,,,,,,,,,,
Carmel Agrexco,"Carmel Agrexco er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Delilah,"Delilah er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Desert Diamond,"Desert Diamond er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Hadiklaim,"Hadiklaim er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Jordan River,"Jordan River er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
King Solomon,"King Solomon er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Rapunzel,"Rapunzel er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Shams,"Shams er et israelsk mærke, der sælger dadler dyrket på stjålet palæstinensisk jord.",Israelsk,,Dadler,,,,,,,,,,,,,,,
Sadaf Foods,"Sadaf skaffer størstedelen af sine fødevarer fra det besatte Palæstina, lige fra dåsevarer og krydderier til urter og korn.



",Israelsk,,Dagligvarer,,,,,,,,,,,,,,,
Keter,Keter er en israelsk virksomhed.,Israelsk,,Hjem & Bolig,,,,,,,,,,,,,,,
MoroccanOil,"Moroccan Oil skjuler sin produktion og oprindelse. Det udgiver sig for at være et marokkansk mærke, men alle dets produkter er fremstillet i Israel.",Israelsk,"Meraki, Ecooking,",Hårpleje,,,,,,,,,,,,,,,
Ahava,"Ahava er en israelsk virksomhed, der udnytter ressourcer fra Dødehavet. Virksomhedens produktionssted, besøgscenter og hovedbutik er beliggende i bosættelsen Mitzpe Shalem i den besatte Jordandal.",Israelsk,"Lush, Nuxe, Badeanstalten",Kropspleje,Ansigtspleje,Mænd: Hudpleje,,,,,,,,,,,,,
Keff,Keff is an Israeli company.,Israelsk,"Derma, Family Fresh, Body Bliss",Kropspleje,,,,,,,,,,,,,,,
Source,Source er en israelsk virksomhed.,Israelsk,"ECCO, Green Comfort",Mænd: Sko,Kvinder: Sko,,,,,,,,,,,,,,
MYKA.dk,MYKA.dk is an Israeli company.,Israelsk,"Øndig Jewellery, Mon Chou, Handcraftedcph",Påklædning: Smykker,,,,,,,,,,,,,,,
Fiverr,"CEO, Micha Kaufman, is a staunch zionist who supports the IDF.",Israelsk,,Teknologi,,,,,,,,,,,,,,,
Wix.com,"Wix er en platform, der giver brugerne mulighed for at oprette hjemmesider ved hjælp af online træk-og-slip-værktøjer. Den har en betydelig brugerbase på verdensplan. Wix opfordrede sine medarbejdere til at skabe indhold, der støtter ""Israels narrativ"" i landets krig med Hamas i Gaza, viser lækkede interne beskeder.",Israelsk,,Teknologi,,,,,,,,,,,,,,,
Monday.com,Monday.com er en israelsk virksomhed i det besatte Palæstina.,Israelsk,,Teknologi,,,,,,,,,,,,,,,
Eden Springs,"Ejes i den israelske virksomhed Mayanot Eden, som påstås at tage vandressourcer fra landmænd og byer i Golanhøjderne, og begrænse adgangen til det for ikke-israelere. ",Israelsk,,Vand & vitaminvand,,,,,,,,,,,,,,,
‘C’ Blanc du Castel,C' Blanc du Castel er et israelsk firma.,Israelsk,,Vin,,,,,,,,,,,,,,,
Castel Grand,Castel Grand is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
Dalton,Dalton is an Israeli company. ,Israelsk,,Vin,,,,,,,,,,,,,,,
Flam,Flam is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
Gamla,Gamla is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
La Vie,La Vie is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
M&H Elements,M&H Elements is an Israeli company.,Israelsk,,Vin,Whiskey,,,,,,,,,,,,,,
Pelter Sauvignon,Pelter Sauvignon is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
Sphera,Sphera is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
Tzora,Tzora is an Israeli company.,Israelsk,,Vin,,,,,,,,,,,,,,,
Express VPN,Express VPN er en israelsk virksomhed.,Israelsk,,,,,,,,,,,,,,,,,
Aveeno,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,Lille Kanin,Ansigtspleje,Hårpleje,Kropspleje,Hudpleje til børn,,,,,,,,,,,,
Clean & Clear,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,Avene,Ansigtspleje,,,,,,,,,,,,,,,
Neutrogena,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,Australian Bodycare,Ansigtspleje,Hårpleje,Kropspleje,Solpleje,Make-up,,,,,,,,,,,
Johnson's,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,"Libero, Lille Kanin",Hudpleje til børn,Bad & pusle,,,,,,,,,,,,,,
Penaten,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,"Lille Kanin, Derma, Libero, Matas Medicare",Hudpleje til børn,,,,,,,,,,,,,,,
Ogx,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,,Hårpleje,,,,,,,,,,,,,,,
Maui Moisture,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,Herbal Care,Hårpleje,,,,,,,,,,,,,,,
Benadryl,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,A. Vogel,Lægemidler,,,,,,,,,,,,,,,
Nicorette,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,,Lægemidler,,,,,,,,,,,,,,,
Imodium,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,,Lægemidler,,,,,,,,,,,,,,,
Visine,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,A. Vogel,Lægemidler,,,,,,,,,,,,,,,
Listerine,"Ejes af Johnson & Johnson som har virksomheder i Israel, der er aktive inden for forskellige sektorer, herunder sundhedsvæsen, lægemidler og medicinsk udstyr, hvilket styrker sin globale tilstedeværelse inden for disse vigtige industrier.",Johnson & Johnson,"GUM, Matas Medicare, Australian Bodycare",Mund- & tandhygiejne,,,,,,,,,,,,,,,
Huggies,"Eejes af Kimberly-Clark, som er en betydelig kunde hos Avgol, som er en virksomhed med en fabrik i Barkan Industrial Park på den besatte Vestbred. Avgol fremstiller cirka 10% af råvarerne til bleer på det globale marked.",Kimberly-Clark,Libero,Bad & pusle,,,,,,,,,,,,,,,
Kleenex,"Eejes af Kimberly-Clark, som er en betydelig kunde hos Avgol, som er en virksomhed med en fabrik i Barkan Industrial Park på den besatte Vestbred. Avgol fremstiller cirka 10% af råvarerne til bleer på det globale marked.",Kimberly-Clark,,Toiletpapir & køkkenrulle,,,,,,,,,,,,,,,
Kimberly-Clark,"Er en betydelig kunde hos Avgol, som er en virksomhed med en fabrik i Barkan Industrial Park på den besatte Vestbred. Avgol fremstiller cirka 10% af råvarerne til bleer på det globale marked.",Kimberly-Clark,,Toiletpapir & køkkenrulle,Bad & pusle,,,,,,,,,,,,,,
Helena Rubinstein,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Rudolph Care, Clarins",Ansigtspleje,Make-up,,,,,,Påklædning: Tasker,,,,,,,,
Yves Saint Laurent Beauty / YSL Beauty,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Kayali, Charlotte Tilbury, Sandstone",Ansigtspleje,Make-up,,,,,,Påklædning: Tasker,,,,,,,,
Essie,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Depend, Nilens Jord, Kiko Milano",Hænder & negle,,,,,,,,,,,,,,,
Kerastase,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Stuhr,Hårpleje,,,,,,,,,,,,,,,
Biotherm,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Clarins, Woods_copenhagen",Kropspleje,Ansigtspleje,Solpleje,,,,,,,,,,,,,
Garnier,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Green People,Kropspleje,Ansigtspleje,Hårpleje,Solpleje,,,,,,,,,,,,
Kiehl's,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Ecooking,Kropspleje,Ansigtspleje,Hårpleje,Hudpleje til børn,,,,,,,,,,,,
La Roche-Posay,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Danish Skin Care,",Kropspleje,Hårpleje,Ansigtspleje,Solpleje,,,,,,,,,,,,
Giorgio Armani Beauty,"Har et partnerskab med L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Huda Beauty, Charlotte Tilbury, Clarins",Make-up,,,,,,,,,,,,,,,
IT Cosmetics,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,,Make-up,Ansigtspleje,,,,,,,,,,,,,,
Loreal / L'oreal,"L'Oreal is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",L'Oréal,,Make-up,,,,,,,,,,,,,,,
Maybelline,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Gosh, Kiko Milano, IsaDora",Make-up,,,,,,,,,,,,,,,
NYX Professional Makeup,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Kiko Milano, Nilens Jord, IsaDora",Make-up,,,,,,,,,,,,,,,
Urban Decay,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Huda Beauty, Charlotte Tilbury",Make-up,,,,,,,,,,,,,,,
Shiseido,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,,Parfumer: Kvinder,Mænd: Hudpleje,Ansigtpleje,,,,,,,,,,,,,
Aesop,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Badeanstalten, Meraki, Green People",Parfumer: Kvinder,Kropspleje,Ansigtspleje,Hårpleje,Mænd: Hudpleje,,,,,,,,,,,
Lancome,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Clarins,Parfumer: Kvinder,Make-up,Ansigtspleje,Kropspleje,,,,,,,,,,,,
Mugler,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Kayali,Parfumer: Kvinder,,,,,,,,,,,,,,,
Diesel Fragrances,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,,Parfumer: Mænd,Mænd: Deodoranter,,,,,,,,,,,,,,
Maison Margiela Fragrances,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Kayali, Rituals",Parfumer: Mænd,Parfumer: Kvinder,Parfumer: Unisex,,,,,,,,,,,,,
Valentino Beauty,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Kayali,Parfumer: Mænd,Parfumer: Kvinder,Make-up,,,,,,,,,,,,,
